date,Search Performed,FP Subject Link,Tutors Link,Next Page,Category Link Clicked,Filter,Subject Link Clicked,Subjects Clicked,Main Pageview,Search Results Pageview,Login Clicked,Tutor Login Clicked
2016-03-12,1,0,0,0,0,0,0,0,5,4,0,0
2016-03-13,0,0,0,0,0,0,0,0,10,5,0,0
2016-03-14,2,1,2,2,0,3,2,2,5,6,0,0
2016-03-15,0,0,0,0,0,0,0,0,4,3,0,0
2016-03-16,1,0,0,0,0,0,1,3,5,4,2,1
2016-03-17,0,1,0,1,0,0,1,1,6,2,0,0
2016-03-18,0,0,0,0,0,0,0,0,3,0,0,0
2016-03-19,0,0,0,0,0,0,0,0,2,6,0,0
2016-03-20,0,0,0,0,0,0,0,0,7,13,0,0
2016-03-21,1,0,1,0,0,0,0,0,5,11,0,0
2016-03-22,0,0,0,0,0,0,0,0,2,9,0,0
2016-03-23,0,0,0,0,0,0,0,0,2,1,0,0
2016-03-24,1,0,0,0,0,1,1,1,2,4,0,0
2016-03-25,1,3,1,2,1,1,1,2,8,5,0,0
2016-03-26,0,0,0,0,1,0,1,1,7,3,0,0
2016-03-27,0,0,0,0,0,0,0,0,7,9,0,0
2016-03-28,0,0,0,0,0,0,0,0,1,0,0,0
2016-03-29,1,1,2,1,0,1,0,0,3,4,0,0
2016-03-30,0,2,0,0,0,1,1,2,4,2,0,0
2016-03-31,1,3,2,1,0,3,1,1,5,7,0,1
2016-04-01,0,2,0,0,0,0,0,0,2,4,0,0
2016-04-02,0,0,0,0,1,0,0,1,4,9,2,1
2016-04-03,2,0,0,0,0,2,0,0,9,7,0,0
2016-04-04,1,1,0,0,0,0,0,1,4,5,1,1
2016-04-05,1,2,2,1,0,0,0,0,7,10,0,0
2016-04-06,3,3,1,1,1,0,2,3,11,9,0,1
2016-04-07,1,2,1,0,0,1,1,1,4,4,1,1
2016-04-08,1,2,0,0,2,1,1,1,29,5,0,1
2016-04-09,0,1,0,0,0,1,1,1,3,2,0,0
2016-04-10,0,0,1,1,0,0,0,0,6,8,0,0
